uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
8d31a1130422a93900240048a9b3ea19,"Efecto Studios es la empresa de desarrollo de videojuegos nacional que logró estar en Apple Arcade, la plataforma de juegos de Apple que permite que con el pago de una suscripción que en el país está en $19.900 se tenga a disposición todo un ecosistema premium para olvidarse de las compras mientras se juega.(Lea: ¿Hace parte Uber de la economía naranja?)","Decoherence, la cuota colombiana en el Apple Arcade",https://www.portafolio.co//innovacion/decoherence-la-cuota-colombiana-en-el-apple-arcade-537221,portafolio,www.portafolio.co,5,28
85a0d956f91413d78ce5d5df938dd237,"El Gobierno de Estados Unidos renovó hasta el próximo 22 de abril la autorización a cinco petroleras estadounidenses, entre las que se encuentra Chevron, para operar en Venezuela, pese a las sanciones a la compañía estatal venezolana Petróleos de Venezuela (Pdvsa). Lea: (Maduro está dispuesto a negociar con Estados Unidos elecciones libres)",EE. UU. renueva a sus petroleras permiso para operar en Venezuela,https://www.portafolio.co//internacional/ee-uu-renueva-a-sus-petroleras-permiso-para-operar-en-venezuela-537234,portafolio,www.portafolio.co,7,28
9f83cf2c5dddc62389b9ef56ee94997c,"A pocos días de iniciar la quincuagésima reunión anual en la ciudad suiza de Davos, el Foro Económico Mundial publicó su tradicional informe de riesgos globales para 2020.El reporte parte de unas perspectivas pesimistas para este año que comienza. De acuerdo a los autores, una serie de fuerzas económicas, demográficas y tecnológicas están moldeando un escenario geopolítico de gran inestabilidad. A lo anterior se suman los recientes enfrentamientos comerciales entre grandes potencias como Estados Unidos y China.",Riesgos 2020: clima y economía,https://www.portafolio.co//opinion/francisco-miranda-hamburger/riesgos-2020-clima-y-economia-retrospectiva-francisco-miranda-537225,portafolio,www.portafolio.co,3,45
71b7551b577f3e663dd4b87bcba6af44,"Los modelos Fiat 500 y Fiat Panda, líderes en la categoría de vehículos urbanos en Europa, serán los primeros en este segmento del grupo Fiat Chrysler Automobiles (FCA) en adoptar la nueva tecnología híbrida, revolucionando así la movilidad mientras ofrece una solución sostenible, integral, asequible, eficiente, compacta y ligera, resaltándose a su vez, por ser la marca pionera en tecnología durante los últimos 120 años. (Lea: Fiat Chrysler y PSA negocian fusionarse para competir con Volkswagen)En esta década, la empresa creará un hito en su historia con la iniciación de la producción en Turín, Italia del nuevo Fiat 500 100% eléctrico, referencia que jugará un papel de suma importancia en la estrategia e-Mobility by FCA.(Lea: Escarabajo: la pasión perdura a pesar de su final)",El paso a la electrificación en los vehículos de Fiat,https://www.portafolio.co//negocios/empresas/el-paso-a-la-electrificacion-en-los-vehiculos-de-fiat-537217,portafolio,www.portafolio.co,4,74
70a1b1d3c05b2ffd7ccc94440a011391,"Donald Trump desea que América Latina se beneficie de la prosperidad de Estados Unidos y fomente fuertes lazos económicos y de inversión bilaterales en lugar de apostar por unas relaciones con China que solo dejarán en la región ""dependencia, deuda y corrupción"".Lea: (‘La gente quiere la democracia, pero no cree en quienes gobiernan’)","El oscuro legado que dejará China en Latinoamérica, según EE. UU.",https://www.portafolio.co//internacional/el-oscuro-legado-que-dejara-china-en-latinoamerica-segun-ee-uu-537226,portafolio,www.portafolio.co,8,30
35d4170c440917899521a10c21800dcf,"Amazon está trabajando en un sistema para que los usuarios de tarjetas de crédito puedan pagar en tiendas utilizando la palma de su mano, según informó este sábado The Wall Street Journal (WSJ). El diario, que cita a fuentes conocedoras del proyecto, explica que el gigante tecnológico planea ofrecer estos terminales a cafeterías, restaurantes de comida rápida y otros negocios donde los clientes realizan operaciones de manera repetida. Según el WSJ, el plan está aún en fases iniciales y Amazon no ha querido hacer ningún comentario al respecto.Lea: (Amazon batió récords en la temporada navideña)",El innovador sistema de pago que prepara Amazon,https://www.portafolio.co//internacional/el-innovador-sistema-de-pago-que-prepara-amazon-537227,portafolio,www.portafolio.co,5,57
e088ba1e9a557aaa57e53a9cb7797eb5,"El capitalismo es el mejor, aunque tardío, invento del homo sapiens para multiplicar los bienes y servicios disponibles a la humanidad. Quizá por tardío no es perfecto. Le hace falta albores. Uno de ellos es la institucionalidad para asegurar la competencia, sin la que el capitalismo es instrumento de tiranía. Sería catastrófico, sin embargo, que por sus defectos se prescindiera del método que mejor amaestra millones de años de instinto de conservación (egoísmo), y que incluye la cooperación para la supervivencia.","Capitalismo blando
",https://www.portafolio.co//opinion/rodolfo-segovia-s/capitalismo-blando-columnista-537194,portafolio,www.portafolio.co,2,39
5d9b6a68c822e3dd2b0b08d425dbe641,"Tras seis años de operación, la historia de Uber en Colombia sumó un nuevo capítulo el pasado 20 de diciembre luego de un fallo de la Superintendencia de Industria y Comercio (SIC), en el que se le ordenó dejar de operar algunos de sus servicios.",Aspectos técnicos pondrían en vilo el bloqueo de Uber,https://www.portafolio.co//negocios/empresas/aspectos-tecnicos-pondrian-en-vilo-el-bloqueo-de-uber-537197,portafolio,www.portafolio.co,6,22
5e35a13effb32d99a659b7f3ac2a37d7,"El pasado lunes la Academia de Artes y Ciencias Cinematográficas anunció los nominados a su nonagésima segunda ceremonia de premiación, a celebrarse en febrero.Los llamados premios Óscar son los reconocimientos más prestigiosos en la multimillonaria industria del entretenimiento norteamericano. Concentran la atención mediática mundial, simbolizan el glamour de Hollywood y son sinónimo de las mejores películas en sus distintas categorías.",La guerra de las pantallas,https://www.portafolio.co//opinion/editorial/la-guerra-de-las-pantallas-carta-del-director-editorial-537192,portafolio,www.portafolio.co,2,34
ccec50c4043f8d587e843a357c9b8507,"Sin grandes avances concluyó la primera reunión entre el Gobierno y representantes de firmas desarrolladoras de herramientas tecnológicas como Digitaxi, Cabify, Taxis Libres, Coopebombas de Medellín, entre otras.(Lea: ¿Hace parte Uber de la economía naranja?)",Gobierno se reúne con representantes de plataformas de transporte,https://www.portafolio.co//economia/gobierno-se-reune-con-representantes-de-plataformas-de-transporte-537209,portafolio,www.portafolio.co,5,22
