uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
b65bd7fb6054dd45a436699a3aa9abfa,"(CNN) — Una niña de 14 años en el norte de California tiene que agradecerle a Snapchat por ayudarla a escapar de tres secuestradores después de que fue agredida sexualmente, según la policía de San José.","Una adolescente usa Snapchat para escapar de los secuestradores después de una agresión sexual, dice la policía",https://cnnespanol.cnn.com/2020/01/17/una-adolescente-usa-snapchat-para-escapar-de-los-secuestradores-despues-de-una-agresion-sexual-dice-la-policia/,cnn,cnnespanol.cnn.com,10,18
fe334cac7797c3554fe373ac33b20ee7,"(CNN Español) — Un sismo de magnitud 6,0 sacudió Indonesia este domingo, según reportes preliminares del Servicio Geológico de Estados Unidos (USGS, por sus siglas en inglés).","Vuelve a temblar en Indonesia: sismo de magnitud 6,0 según el USGS",https://cnnespanol.cnn.com/2020/01/19/vuelve-a-temblar-en-indonesia-sismo-de-magnitud-60-segun-el-usgs/,cnn,cnnespanol.cnn.com,7,16
dcd983cd6c7a83b93aa1512fa56bf175,Lo hemos dicho antes y lo vamos a seguir diciendo: somos fans incondicionales de las ollas express de Instant Pot. Y ahora con más razón porque la compañía acaba de lanzar al mercado una licuadora que presenta los mismos programas inteligentes de un solo toque que amamos en la olla eléctrica. No sólo eso. Tiene un 50% de descuento en este momento.,Instant Pot ahora tiene una licuadora y merece un hueco en tu cocina,https://cnnespanol.cnn.com/cnne-underscored/2020/01/16/instant-pot-ahora-tiene-una-licuadora-y-merece-un-hueco-en-tu-cocina/,cnn,cnnespanol.cnn.com,7,29
7728d69836b2277f0940e8f5a6733afd,"Nota del editor: Dan Restrepo es abogado, estratega demócrata y colaborador político de CNN. Fue asesor presidencial y director para el Hemisferio Occidental del Consejo Nacional de Seguridad durante la presidencia de Barack Obama. Las opiniones expresadas en este artículo son exclusivas del autor.",Resoluciones de Año Nuevo en las Américas,https://cnnespanol.cnn.com/2020/01/15/resoluciones-de-ano-nuevo-en-las-americas-opinion-restrepo/,cnn,cnnespanol.cnn.com,4,26
b208fc38c6dcc870418b4a192339b5ce,Nota del editor: Camilo Egaña es el conductor de Camilo. Las opiniones expresadas en este artículo son exclusivas del autor.,La contrarrevolución de Maduro,https://cnnespanol.cnn.com/2020/01/15/la-contrarrevolucion-de-maduro-apunte-camilo/,cnn,cnnespanol.cnn.com,2,11
a8a4c3c1e4bede44b2ba5ce5ad804f24,Nota del editor: Holly Thomas es escritora y editora con sede en Londres. Ella tuitea en @HolstaT. Las opiniones expresadas en este comentario son únicamente las del autor.,Eminem fue demasiado lejos,https://cnnespanol.cnn.com/2020/01/18/eminem-fue-demasiado-lejos/,cnn,cnnespanol.cnn.com,3,15
9e531979dcb111789d3b53c85da82ccc,"(CNN) — Quizá le ha ocurrido: está frente a su televisor con el control en la mano. Frente a usted, un menú extenso. Películas, series, documentales, shows de comediantes… pasan los minutos y nada; escoger entre tantas opciones parece casi imposible",Nuevas plataformas recuperan sus producciones y desafían a Netflix,https://cnnespanol.cnn.com/2019/11/01/nuevas-plataformas-recuperan-sus-producciones-y-desafian-a-netflix/,cnn,cnnespanol.cnn.com,6,23
58c8961c466753db1acc37d48d48f4b4,"(CNN) — Great Blasket, en la periferia atlántica de Europa, busca una pareja para que se conviertan en los cuidadores de verano y residentes únicos a tiempo completo de esta isla desocupada frente a la costa oeste de Irlanda.",Isla irlandesa busca pareja para que sean sus cuidadores de verano,https://cnnespanol.cnn.com/2020/01/17/isla-irlandesa-busca-pareja-para-que-sean-sus-cuidadores-de-verano/,cnn,cnnespanol.cnn.com,6,21
eab0aeb1a633a7ff7978b47641e17fbc,"Nota del editor: Carlos G. Guerrero es presidente de Derechos Humanos y Litigio Estratégico Mexicano. Ha sido profesor adjunto de Derecho Administrativo en la Escuela Libre de Derecho (México) y ha colaborado como articulista en diversos medios como Revista Nexos, GTDT: Market Intelligence, Revista Internacional de Transparencia e Integridad, CNN en Español, entre otros. Es abogado y maestro en Gobierno y Administración Pública.",El futuro del fiscal general de México,https://cnnespanol.cnn.com/2020/01/13/el-futuro-del-fiscal-general-de-mexico/,cnn,cnnespanol.cnn.com,4,39
3253a5c15e327a3fdef63dea63e8a13a,"Nota del editor: Alan Smolinisky es empresario, inversionista y uno de los propietarios de los Dodgers de Los Ángeles.",“Estados Unidos es una nación de inmigrantes”,https://cnnespanol.cnn.com/2020/01/15/estados-unidos-es-una-nacion-de-inmigrantes-opinion-smolinisky/,cnn,cnnespanol.cnn.com,3,9
